10.7 36 180 0
10.7 37 180 8
10.7 40 180 4
10.7 41 180 3
10.7 45 180 20
10.7 46 180 1
10.7 47 180 14
10.7 48 180 4
10.7 49 180 14
10.7 50 180 9
10.7 51 180 5
10.7 54 180 2
10.7 55 180 10
10.7 56 180 11
10.7 57 180 0
16 22 216 0
16 23 216 3
16 24 216 5
16 25 216 14
16 26 216 25
16 27 216 29
16 28 216 21
16 29 216 25
16 30 216 6
16 31 216 6
16 32 216 13
16 33 216 14
16 34 216 9
16 35 216 11
16 36 216 5
16 40 216 3
16 41 216 3
16 42 216 2
16 43 216 3
16 44 216 0
20.3 9 148 0
20.3 10 148 1
20.3 11 148 53
20.3 12 148 32
20.3 13 148 35
20.3 14 148 15
20.3 15 148 4
20.3 16 148 0
23 7 45 0
23 8 45 8
23 9 45 5
23 10 45 23
23 11 45 4
23 12 45 0
25 5 60 0
25 6 60 2
25 7 60 9
25 8 60 13
25 9 60 20
25 10 60 8
25 11 60 0
26.2 5 234 0
26.2 6 234 2
26.2 7 234 24
26.2 8 234 131
26.2 9 234 42
26.2 10 234 15
26.2 11 234 2
26.2 12 234 0
26.5 7 36 0
26.5 8 36 15
26.5 9 36 12
26.5 10 36 5
26.5 11 36 1
26.5 12 36 0
30.2 5 230 21
30.2 6 230 124
30.2 7 230 63
30.2 8 230 4
30.2 9 230 0
